episode_reward,frame,value
0.0,640,0.21703480184078217
0.0,1280,-0.0774133950471878
-0.05,1920,-0.36739975214004517
-0.1,2560,-0.6358576416969299
-0.05,3200,-0.8268551230430603
0.0,3840,-1.0504549741744995
-0.1,4480,-0.8599885106086731
0.0,5120,-0.8719126582145691
0.0,5760,-0.8024236559867859
0.0,6400,-0.743354856967926
0.0,7040,-0.6709691286087036
0.0,7680,-0.6888216137886047
0.0,8320,-0.5658668875694275
0.0,8960,-0.6543437838554382
0.0,9600,-0.6002613306045532
-0.05,10240,-0.6270523071289062
0.0,10880,-0.5766127109527588
-0.05,11520,-0.5662511587142944
-0.1,12160,-0.6347846984863281
0.0,12800,-0.6390153169631958
-0.05,13440,-0.6438565254211426
0.0,14080,-0.543269157409668
0.0,14720,-0.548086941242218
0.0,15360,-0.4718490242958069
0.0,16000,-0.5021924376487732
-0.05,16640,-0.47572827339172363
0.0,17280,-0.4675820469856262
0.0,17920,-0.52149498462677
-0.05,18560,-0.5426980257034302
0,19200,-0.6061035990715027
0.0,19840,-0.7874497175216675
0.0,20480,-0.6733907461166382
0.0,21120,-0.6651589870452881
0.0,21760,-0.6267368197441101
0.0,22400,-0.5896677374839783
0.0,23040,-0.542078971862793
0.0,23680,-0.6090291142463684
0.0,24320,-0.5881280899047852
-0.05,24960,-0.5298158526420593
0.0,25600,-0.574408233165741
0.0,26240,-0.5084480047225952
-0.05,26880,-0.5327852368354797
-0.05,27520,-0.5762860178947449
0.0,28160,-0.5321254730224609
0.0,28800,-0.5395036935806274
0.0,29440,-0.5220314264297485
-0.1,30080,-0.47930094599723816
0.0,30720,-0.4791005253791809
0.0,31360,-0.4406902492046356
0.0,32000,-0.4102267324924469
0.0,32640,-0.45963072776794434
0.0,33280,-0.47531452775001526
0.0,33920,-0.5432341694831848
0.0,34560,-0.5018650889396667
0.0,35200,-0.4924502968788147
0.0,35840,-0.565116286277771
0.0,36480,-0.5642610788345337
0.0,37120,-0.5650458931922913
0.0,37760,-0.6430962681770325
-0.1,38400,-0.6915909647941589
0.0,39040,-0.904248833656311
0.0,39680,-1.0957227945327759
0.0,40320,-1.0410932302474976
0.0,40960,-0.9196050763130188
-0.05,41600,-0.8653578162193298
0.0,42240,-0.8944211006164551
0.0,42880,-0.8334762454032898
-0.05,43520,-0.7452780604362488
0.0,44160,-0.7616277933120728
-0.05,44800,-0.7038614749908447
-0.05,45440,-0.7319528460502625
-0.05,46080,-0.8556789755821228
-0.05,46720,-0.8274968266487122
-0.05,47360,-0.8613396883010864
-0.1,48000,-0.8409296870231628
-0.15,48640,-0.8253890872001648
0.0,49280,-0.8135669827461243
-0.1,49920,-0.7486760020256042
0.0,50560,-0.7796325087547302
0.0,51200,-0.7316009402275085
-0.05,51840,-0.6955419778823853
-0.05,52480,-0.7440710067749023
-0.05,53120,-0.8474681973457336
-0.05,53760,-0.8762680292129517
0.0,54400,-0.8643516898155212
-0.05,55040,-0.7664393186569214
0.0,55680,-0.7616515159606934
-0.1,56320,-0.7822067141532898
0.0,56960,-0.949937641620636
0.0,57600,-0.9332954287528992
0.0,58240,-0.918017566204071
-0.05,58880,-0.8569099307060242
-0.05,59520,-0.8915107846260071
0.0,60160,-0.9662805795669556
0.0,60800,-0.8428037762641907
0.0,61440,-0.7643560767173767
0.0,62080,-0.6981704235076904
0.0,62720,-0.6415141224861145
0.0,63360,-0.5890427827835083
0.0,64000,-0.5486796498298645
0.0,64640,-0.5432374477386475
0.0,65280,-0.5367722511291504
0.0,65920,-0.48973962664604187
0.0,66560,-0.4954667091369629
-0.15,67200,-0.46339693665504456
-0.15,67840,-0.4848865568637848
0.0,68480,-0.5639371275901794
0.0,69120,-0.5218728184700012
-0.05,69760,-0.5333232879638672
0.0,70400,-0.5646016597747803
0.0,71040,-0.54975426197052
-0.1,71680,-0.6467072367668152
-0.05,72320,-0.6996062397956848
-0.05,72960,-0.7758635878562927
-0.05,73600,-0.7558164596557617
-0.05,74240,-0.7359480857849121
-0.05,74880,-0.7163622975349426
0.0,75520,-0.8029446601867676
0.0,76160,-0.7143959999084473
-0.05,76800,-0.6579476594924927
-0.05,77440,-0.6639406681060791
-0.05,78080,-0.7189165949821472
0.0,78720,-0.7515608668327332
0.0,79360,-0.8110340237617493
0.0,80000,-0.8689438104629517
0.0,80640,-0.9164053201675415
-0.1,81280,-0.8453851938247681
-0.1,81920,-0.8645133972167969
-0.1,82560,-0.8483795523643494
0,83200,-0.8358657956123352
-0.05,83840,-0.8213467001914978
-0.05,84480,-0.8092862963676453
-0.05,85120,-0.7928847670555115
0.0,85760,-0.7639006972312927
0.0,86400,-0.723181962966919
0.0,87040,-0.6769073605537415
-0.05,87680,-0.7178552150726318
0.0,88320,-0.7568444609642029
-0.1,88960,-0.7136104106903076
0.0,89600,-0.7131741046905518
0.0,90240,-0.6569918990135193
-0.1,90880,-0.6362389922142029
0.0,91520,-0.6333717703819275
-0.05,92160,-0.5992516875267029
0.0,92800,-0.6467179656028748
0.0,93440,-0.6370723247528076
0.0,94080,-0.6659128665924072
0.0,94720,-0.693994402885437
0.0,95360,-0.6548745632171631
-0.05,96000,-0.6365084052085876
0.0,96640,-0.70430588722229
0.0,97280,-0.6810429692268372
0.0,97920,-0.6339802145957947
0.0,98560,-0.5994139909744263
0.0,99200,-0.5514542460441589
0.0,99840,-0.5242928862571716
-0.05,100480,-0.537327229976654
0.0,101120,-0.5531202554702759
0.0,101760,-0.5321681499481201
0.0,102400,-0.5328825116157532
-0.05,103040,-0.5097739696502686
0.0,103680,-0.5058367252349854
0.0,104320,-0.48951512575149536
0.0,104960,-0.4577972888946533
0.0,105600,-0.4233262240886688
-0.05,106240,-0.40768155455589294
-0.05,106880,-0.3939781188964844
-0.05,107520,-0.3748832941055298
-0.05,108160,-0.37571069598197937
-0.05,108800,-0.350918173789978
-0.05,109440,-0.3415397107601166
0.0,110080,-0.3546658754348755
0.0,110720,-0.363314688205719
0.0,111360,-0.37301555275917053
0.0,112000,-0.36032289266586304
0.0,112640,-0.3530460298061371
0.0,113280,-0.369610458612442
0.0,113920,-0.4311279356479645
0.0,114560,-0.44674474000930786
0.0,115200,-0.4240973889827728
0.0,115840,-0.432291716337204
0.0,116480,-0.44798538088798523
0.0,117120,-0.46243152022361755
