Episode Reward,frame,value
-9.0,32768,-2.5863256454467773
-9.0,33024,-2.0363478660583496
-10.0,33280,-1.7091176509857178
-10.0,33536,-1.8478466272354126
-11.0,33792,-1.4280247688293457
-11.0,34048,-1.8355820178985596
-11.0,34304,-1.4527376890182495
-11.0,34560,-1.8656545877456665
-11.0,34816,-1.4655044078826904
-11.0,35072,-1.8744016885757446
-12.0,35328,-1.5478202104568481
-12.0,35584,-1.9671440124511719
-13.0,35840,-2.174001693725586
-13.0,36096,-2.743340492248535
-13.0,36352,-2.168933629989624
-13.0,36608,-2.015148401260376
-13.0,36864,-2.539113759994507
-13.0,37120,-2.0102505683898926
-14.0,37376,-2.5305447578430176
-14.0,37632,-2.002668619155884
-15.0,37888,-2.512402057647705
-15.0,38144,-2.0186188220977783
-16.0,38400,-1.592646837234497
-16.0,38656,-1.446958303451538
-16.0,38912,-1.8695169687271118
-17.0,39168,-1.4697381258010864
-17.0,39424,-1.8676429986953735
-18.0,39680,-1.4742205142974854
-18.0,39936,-1.8611750602722168
-19.0,40192,-1.5252726078033447
-19.0,40448,-1.9151029586791992
0.0,40704,-1.5604133605957031
0.0,40960,-1.675760269165039
0.0,41216,-2.0950217247009277
0.0,41472,-1.6813406944274902
-1.0,41728,-1.4320895671844482
-1.0,41984,-1.6656330823898315
-1.0,42240,-2.075223922729492
-1.0,42496,-1.6581535339355469
-1.0,42752,-2.0822362899780273
-1.0,43008,-1.654247522354126
-1.0,43264,-2.077097177505493
-1.0,43520,-1.6591143608093262
-1.0,43776,-1.5456721782684326
-1.0,44032,-1.6551029682159424
-2.0,44288,-1.9878764152526855
-2.0,44544,-1.5857007503509521
-3.0,44800,-1.9838371276855469
-3.0,45056,-1.5762332677841187
